city,crosswalk,Safety_belt,Sign,winker,bicycle_helmet,mobile_device,drunk,speed_limit,culture_index,tapttp,tapttc,ippttp,ippttc
M1,73.9928,89.182,95.5128,73.4352,90.9084,35.662,4.4524,49.2076,83.25,588.9,125.66,812.35,173.34
M2,73.788125,81.7775,95.7075,65.994375,71.17875,34.316875,3.65625,46.46375,79.66,317.38,93.12,438.45,128.64
M3,73.815,89.447,96.73,78.102,85.752,35.946,4.812,46.888,85.06,161.49,53.19,229.78,75.68
M4,78.89875,86.02,97.33875,68.4525,80.77875,33.96125,4.12625,48.70375,80.77,253.5,122.14,378.61,182.41
M5,73.46,93.148,95.442,84.044,85.408,35.85,4.152,47.358,86.82,185.76,120.79,298.45,194.08
M6,80.408,84.722,96.426,72.358,77.892,33.4,4.15,45.662,80.44,172.02,123.71,262.57,188.84
M7,83.116,82.354,95.112,61.306,83.784,35.286,4.528,48.114,80.08,131.44,76.85,192.18,112.37
C1,65.77,79.08,93.77,70.31,94.43,30.19,2.83,39.62,79.84,41.7,81.34,64.52,125.86
C2,84.98,81.5,99.23,61.4,94.2,41.51,6.6,41.51,82.41,40.36,95.08,60.56,142.67
C3,86.99,84.66,98.98,35.14,98.77,41.51,9.43,53.77,77.25,47.45,89.19,65.3,122.74
C4,87.98,67.5,98.9,71.18,64.63,30.19,5.66,53.77,74.8,67.78,121.85,107.02,192.4
C5,75.94,76.28,93.46,83.11,53.68,33.96,2.83,43.4,72.46,12.58,25.13,22.64,45.23
C6,77.42,96.32,96.85,72.17,96.56,38.68,3.77,42.45,83.18,37.5,93.52,55.86,139.3
C7,90.89,96.19,96.47,92.25,91.09,35.85,4.72,45.28,82.04,56.52,109.51,98.16,190.2
C8,79.9,95.88,97.22,58.23,94.04,33.96,2.83,52.83,79.94,40.76,107.2,65.53,172.33
C9,75.11,88.81,95.59,68.91,91.38,32.08,2.83,38.68,74.03,32.68,99.83,46.29,141.42
C10,91.33,97.51,95.4,97.53,94.83,26.42,4.2,48.11,86.61,47.2,83.99,74.03,131.72
C11,72.73,67.53,86.2,57.74,79.72,33.96,2.83,41.51,77.7,51.32,97.66,79.47,151.22
C12,91.07,80.37,97.16,63.97,85.28,27.36,2.83,52.83,80.34,36.9,103.77,54.48,153.24
C13,83.2,84.57,97.19,75.36,81.93,42.45,6.6,54.72,82.24,48.09,93.77,71.63,139.66
C14,89.91,75.37,92.9,73.42,87.84,30.19,3.77,54.72,74.46,44.93,91.36,71.16,144.68
C15,76.5,77.83,96.97,63.11,82,35.85,2.83,50.94,79.66,23.47,63.88,37.09,100.94
C16,80.7,79.49,97.07,74.5,85.96,43.4,3.77,50.94,79.26,56.37,103.45,105.12,192.92
C17,79.52,87.15,94.69,69.61,85.71,36.79,4.72,51.89,78.04,48.4,92.21,68.67,130.82
C18,72.19,94.36,94.43,82.98,78.63,33.96,2.83,44.34,77.7,42.35,85.82,66.43,134.63
C19,72.88,80.32,96.1,52.84,70.87,31.13,4.72,46.23,76.09,43.44,84.57,65.25,127.04
C20,78.28,87.94,96.78,71.38,88.06,45.28,1.89,50.94,78.96,56.75,98.76,100.58,175.04
C21,81.08,82.3,98.37,66.17,87.6,40.57,5.66,47.17,76.93,35.36,82.91,56.82,133.22
C22,74.79,74.67,98.46,92.6,70.59,39.62,2.83,49.06,83.1,37.67,68.57,54.27,98.78
C23,88.85,97.23,95.73,92.38,85,34.91,3.77,52.83,84.91,39.59,75.94,64.04,122.84
C24,87.24,80.44,96.86,76.35,89.95,42.45,0.94,42.45,72.5,46.67,94.2,73.91,145.7
C25,83.19,87.04,94.02,82.91,93.49,37.74,4.72,41.51,76.47,43.34,109.08,59.34,149.36
C26,93.04,97.93,94.98,94.49,98.11,40.57,2.83,45.28,86.02,39.22,78.99,54.89,110.54
C27,87.43,81.29,97.54,70.47,78.26,38.68,5.66,52.83,79.33,78.25,179.58,135.15,310.16
C28,71.11,69.21,98.97,79.65,95.3,36.79,4.72,45.28,71.23,56.49,110.46,88.91,173.86
C29,87.83,95.12,96.18,76.61,67.32,34.91,6.6,47.17,82.65,49.84,91.19,70.36,128.73
C30,72.7,68.36,94.58,78.97,77.78,29.25,7.55,46.23,71.44,46.97,90.7,70.6,136.33
C31,69.1,89.64,96.92,69.84,90.62,32.08,5.66,48.11,82.05,43.46,119.85,60.81,167.7
C32,77.23,66.59,94.34,61.21,75.86,33.96,6.6,50,74.45,58.65,118.24,92.37,186.21
C33,80.08,79.11,99.9,80.43,87.37,42.45,2.83,49.06,74.45,60.59,126.75,96.3,201.46
C34,61.05,66.21,99.58,82.78,77.83,34.91,6.6,52.83,77.05,62.81,115.33,91.63,168.24
C35,87.31,94.66,94.86,85.33,73.68,40.57,5.66,50.94,84.66,70.24,94.2,114.65,145.7
C36,78.99,73.93,97.7,82.77,87.07,33.02,2.83,60.38,74.49,48.17,88.48,74.3,136.46
C37,85.38,89.99,96.66,89.98,79.28,41.51,2.83,51.89,81.54,39.83,112.1,60.61,170.59
C38,85.63,95.08,94.05,76.68,86.57,31.13,2.83,44.34,82.89,29.35,56.45,41.89,80.57
C39,85.71,99.45,96.39,82.43,93.33,32.08,3.77,46.23,80.38,47.87,102.88,73.46,157.88
C40,73.72,92.77,93.86,71.19,92.79,38.68,4.72,52.83,81.62,40.96,96.86,58.9,139.29
C41,89.15,91.91,99.85,79.17,92.71,29.25,4.72,54.72,82.93,52.33,104.78,84.9,170
C42,80.81,97.07,94.67,72.85,89.91,32.08,4.72,52.83,81.53,55.27,106.01,87.14,167.13
C43,78.73,77.22,97.36,77.9,81.59,33.96,1.89,44.34,80.91,34.62,64.69,49.77,93
C44,60,66.45,97.62,60.97,73.04,34.91,9.43,54.72,71.51,64.44,125.56,98.22,191.41
C45,65.44,94.14,98.85,84.77,75.37,33.96,4.72,50.94,78.89,60.05,133.16,90.39,200.46
C46,89.9,92.74,99.11,76.91,93.75,33.96,4.72,48.11,83.33,55.24,98.42,95.33,169.85
C47,68.08,72.85,97.12,55.64,73.68,33.02,3.77,37.74,74,28.02,77.03,41.36,113.73
C48,84.3,80.39,96,74.19,80.98,37.74,6.6,41.51,79.19,36.89,75.7,53.81,110.43
C49,78.13,94.24,97.68,69.78,84.24,40.57,3.77,48.11,80.49,51.53,107.64,78.54,164.06
C50,82.06,89.32,96.29,93.62,88.63,34.91,5.66,42.45,86.08,55.31,116.2,85.95,180.57
C51,89.38,90.14,98.08,86.27,96.25,38.68,1.89,45.28,79.4,53.08,86.44,89.67,146.01
C52,81.27,81.02,99.05,69.42,92.81,34.91,2.83,46.23,72.65,51.97,98.63,70.41,133.63
C53,76.86,83.99,96.98,64.42,80.3,33.96,6.6,45.28,78.68,78.06,130.17,135.24,225.54
C54,75.97,92.13,94.81,79.41,93.45,32.08,5.66,50,78.2,48.03,100.54,72.2,151.14
C55,77.76,89.11,96.03,73.58,85.75,33.96,4.72,50,81.25,33.67,75.19,55.38,123.67
C56,84.73,97.32,92.57,94.91,97.78,33.96,3.77,51.89,86.23,57.69,115.62,88.18,176.73
C57,64.52,90.91,92.2,48.16,85.84,33.02,1.89,47.17,78.41,31.7,75.22,51.32,121.77
C58,70.68,74.92,97.91,86.48,95.48,37.74,4.72,55.66,80.25,38.12,107.12,55.46,155.84
C59,75.85,98.56,99.61,95.34,83.91,34.91,2.83,52.83,75.29,51.45,96.23,80.3,150.19
C60,88.13,77.87,87.56,75.28,81.73,41.51,1.89,39.62,74.03,47.47,98.74,69.41,144.36
C61,84.69,70.29,96.22,65.65,89.24,27.36,3.77,40.57,81.04,36.32,72.96,54.92,110.32
C62,73,81.54,96.17,74.43,71.02,35.85,3.77,41.51,80.29,53.13,104.71,82.38,162.33
C63,87.16,93.25,95.83,90.19,87.96,45.28,3.77,46.23,80.28,64.6,94.2,98.9,145.7
C64,81.57,80.65,96.31,82.29,82.86,32.08,5.66,46.23,81.55,64.26,124.93,110.2,214.24
C65,65.49,83.72,95.97,65.38,87.23,31.13,3.77,49.06,78.49,24.34,50.15,32.08,66.12
C66,87.17,80.02,97.91,65.19,87.68,32.08,2.83,42.45,81.87,30.8,57.61,43.53,81.42
C67,86.82,84.89,97.07,78.18,76.82,42.45,2.83,50,80.85,48.56,96.67,72.67,144.68
C68,80.45,90.4,97.25,63.6,84.79,29.25,5.66,42.45,83.72,59.08,118.27,95.34,190.86
C69,88.08,73.65,98.02,80.31,95.43,36.79,0.94,50,81.52,56.66,118.31,87.87,183.5
C70,82.34,88.38,94.37,88.15,85.07,36.79,7.55,45.28,74.87,64.8,122,113.35,213.41
C71,67.17,65.78,97.69,76.69,84.62,35.85,3.77,50.94,70.89,39.46,84.33,59.97,128.17
C72,90.67,78.16,97.94,65.68,82.61,24.53,3.77,47.17,81.46,53.55,133.19,85.1,211.68
C73,87.86,88.17,97.63,77.34,89.76,21.7,2.83,50,84.26,36.69,78.31,53.76,114.72
C74,73.97,87.15,94.79,68.69,89.38,37.74,5.66,44.34,79.77,71.16,129.14,116.64,211.66
C75,82.22,89.28,98.51,80.89,92,34.91,1.89,47.17,80.55,58.87,95.28,98.89,160.05
C76,79.16,95.79,96.93,57.93,90.22,35.85,3.77,43.4,79.87,54.45,104.23,84.35,161.47
C77,69.9,85.25,96.97,74.01,79.24,28.3,2.83,44.34,76.88,42.53,95.13,63.75,142.6
C78,77.19,95.06,95.35,81.98,81.63,34.91,3.77,50,83.49,39.65,70.54,63.46,112.92
